Student's number:2010566  Name:Patrica Garrison(W) born in 2001-03-30was unseccesfull because he aquire 10.0%)
Student's number:1010535  Name:Sam Quentin(M) born in 2001-08-25was unseccesfull because he aquire 10.0%)
eStudent's number:1010278  Name:Damien Avila(M) born in 2000-07-18 seccesfuly gradueted for 1.0(96.0%)
Student's number:1010108  Name:Edgar Moises(M) born in 2001-03-06 seccesfuly gradueted for 1.0(96.0%)
Student's number:1010051  Name:Heath Brian(M) born in 2001-08-27 seccesfuly gradueted for 1.0(92.0%)
Student's number:1010324  Name:Lloyd Chuck(M) born in 2001-03-18 seccesfuly gradueted for 1.0(90.0%)
Student's number:1010519  Name:Jami Berger(M) born in 2001-08-04 seccesfuly gradueted for 2.0(88.0%)
Student's number:1010496  Name:Toby Fernando(M) born in 2000-04-18 seccesfuly gradueted for 2.0(88.0%)
Student's number:2010300  Name:Leila Effie(W) born in 2001-07-30 seccesfuly gradueted for 2.0(86.0%)
Student's number:1010574  Name:Robin Olsen(M) born in 2000-07-02 seccesfuly gradueted for 2.0(84.0%)
Student's number:2010471  Name:Callie Hawkins(W) born in 2000-07-22 seccesfuly gradueted for 2.0(80.0%)
Student's number:2010174  Name:Ezra Sparks(W) born in 2000-11-26 seccesfuly gradueted for 2.0(80.0%)
Student's number:1010846  Name:Ruben Katheryn(M) born in 2000-05-08 seccesfuly gradueted for 2.0(80.0%)
Student's number:2010828  Name:Elba Kaufman(W) born in 2000-12-21 seccesfuly gradueted for 2.0(76.0%)
Student's number:1010383  Name:Shannon Banks(M) born in 2001-05-06 seccesfuly gradueted for 2.0(76.0%)
Student's number:2010589  Name:Angelina Sims(W) born in 2000-11-01 seccesfuly gradueted for 3.0(74.0%)
Student's number:2010434  Name:Kathie Stanton(W) born in 2001-04-22 seccesfuly gradueted for 3.0(74.0%)
Student's number:1010718  Name:Rich Shields(M) born in 2001-01-14 seccesfuly gradueted for 3.0(70.0%)
Student's number:1010587  Name:Elvin Claude(M) born in 2000-05-04 seccesfuly gradueted for 3.0(68.0%)
Student's number:1010152  Name:Philip Rener(M) born in 2000-10-30 seccesfuly gradueted for 3.0(68.0%)
Student's number:1010806  Name:Jaime Earline(M) born in 2000-08-14 seccesfuly gradueted for 3.0(66.0%)
Student's number:1010452  Name:Adam Grant(M) born in 2001-06-16 seccesfuly gradueted for 3.0(64.0%)
Student's number:2010086  Name:Ladonna Payne(W) born in 2000-05-18was unseccesfull because he aquire 46.0%)
Student's number:2010381  Name:Dianne Michael(W) born in 2001-05-10was unseccesfull because he aquire 42.0%)
Student's number:2010469  Name:Reba Kendrick(W) born in 2000-07-25was unseccesfull because he aquire 40.0%)
Student's number:1010937  Name:Kurtis Head(M) born in 2001-07-26was unseccesfull because he aquire 38.0%)
Student's number:2010813  Name:Andrea Pate(W) born in 2001-01-13was unseccesfull because he aquire 32.0%)
Student's number:2010219  Name:Kimberly Mullins(W) born in 2001-01-28was unseccesfull because he aquire 32.0%)
Student's number:2010456  Name:Winnie Page(W) born in 2001-05-22was unseccesfull because he aquire 30.0%)
Student's number:2010347  Name:Ann Dunlap(W) born in 2001-07-18was unseccesfull because he aquire 28.0%)
Student's number:2010853  Name:Cleo Barnes(W) born in 2000-04-09was unseccesfull because he aquire 28.0%)
Student's number:1010442  Name:Edmund Mosley(M) born in 2000-02-22was unseccesfull because he aquire 28.0%)
Student's number:2010569  Name:Liz Austin(W) born in 2001-02-24was unseccesfull because he aquire 28.0%)
Student's number:2010563  Name:Florence Deirdre(W) born in 2000-02-23was unseccesfull because he aquire 26.0%)
Student's number:2010078  Name:Nellie Brady(W) born in 2000-11-15was unseccesfull because he aquire 26.0%)
Student's number:2010731  Name:Rose Buckley(W) born in 2000-08-16was unseccesfull because he aquire 22.0%)
Student's number:2010582  Name:Summer Evelyn(W) born in 2001-04-11was unseccesfull because he aquire 22.0%)
Student's number:1010920  Name:Johnathan Baxter(M) born in 2001-06-14was unseccesfull because he aquire 16.0%)
Student's number:2010643  Name:Antoine Derek(W) born in 2001-05-12was unseccesfull because he aquire 14.0%)
Student's number:1010758  Name:Gilbert Weiss(M) born in 2000-01-23was unseccesfull because he aquire 14.0%)
Student's number:2010566  Name:Patrica Garrison(W) born in 2001-03-30was unseccesfull because he aquire 10.0%)
Student's number:1010535  Name:Sam Quentin(M) born in 2001-08-25was unseccesfull because he aquire 10.0%)
